"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV656",0.228425080864671,0.217820847884873,0.0172998580276906,0.1298951477612,0.702516201133523,0.973928713811135,0.998310612458709
"ASV657",0.289590737463439,0.187540928260409,0.01902855347303,0.188038531042125,0.733749141623778,0.97040943481697,0.997444112929515
"ASV658",0.281754171275318,0.191721158851573,0.0187523832577231,0.179825504577632,0.731276516846393,0.971244457427582,0.997620272118653
"ASV660",0.27049364297449,0.188099712752243,0.0186950719795818,0.17355531523692,0.71861084107172,0.968804811924153,0.997359168873828
"ASV661",0.248867183645943,0.209661990173547,0.0176774738491499,0.147161438133404,0.717810020551878,0.974024657206496,0.998194216621638
"ASV663",0.33782139283758,0.166871249257066,0.0297782647902038,0.244156058590883,0.678252577701451,0.932234625117816,0.988983825739594
"ASV666",0.291336616953687,0.181943744692473,0.0239338101936172,0.194865594426394,0.687037513293629,0.95218000729242,0.994493558424996
"ASV667",0.280324529996366,0.195446828011116,0.0189403703575431,0.176842076169303,0.729965579002755,0.971440401779348,0.997669003625293
"ASV670",0.268905858348333,0.212126331646215,0.0186089621051424,0.15988545556686,0.729895282353652,0.974599636809111,0.998167857157809
"ASV671",0.258596284938178,0.198215679407927,0.0180251085082446,0.159566712146016,0.718869453414551,0.971782146056531,0.997848621691945
"ASV672",0.270262236377778,0.22327179109361,0.0188617106757842,0.155229374986241,0.733160539897461,0.976237478470692,0.998374762939413
"ASV674",0.269279762056695,0.214209832684322,0.0187486228414845,0.159132559518333,0.729734936751417,0.974698211539861,0.99818386604295
"ASV677",0.263384286321523,0.203052686411137,0.0186866024996578,0.160735990280701,0.719301577113045,0.971660828741699,0.997824944725985
"ASV678",0.179377768989955,0.344189880224016,0.018254583665181,0.061171522502866,0.647778132812605,0.981100231835099,0.999317975674075
"ASV680",0.267469298787876,0.202023933562933,0.0185572671986667,0.164058488746775,0.724348274395619,0.972363809820963,0.997881811561644
"ASV681",0.291507243695439,0.182123820793185,0.0196906486144017,0.192857808812971,0.725946606543887,0.967068946404031,0.996937797314264
"ASV682",0.290146530542168,0.198337769678265,0.0193395478273713,0.182531554900874,0.736929282314116,0.972332175970498,0.997736971286533
"ASV684",0.292106152210134,0.191754558749544,0.0191963910969299,0.187597639106238,0.73678095908407,0.971371450529517,0.997574538054133
"ASV687",0.278069729206785,0.193764552377532,0.0187681404272756,0.176048007378025,0.72860579117596,0.971208931177595,0.997646257978465
"ASV688",0.261611340065683,0.202863406898177,0.0181944029698895,0.159398254850327,0.722535580082089,0.972797315617597,0.997967889574469
"ASV690",0.287389931911728,0.18315677722859,0.0189608150418468,0.188836189832883,0.729787188263651,0.969071981040043,0.997256598644313
"ASV691",0.306959988624566,0.178417184293903,0.0198476887892673,0.206886495177697,0.736666923976034,0.967742903327353,0.996901520849979
"ASV693",0.269267628814475,0.194634694495099,0.0184843811859069,0.169138197389252,0.723172441008939,0.971034406331286,0.997680898094157
"ASV694",0.263986432136871,0.19764869923485,0.0183443716580019,0.163771066225317,0.720799231739012,0.971454411628974,0.997775851180101
"ASV696",0.269091848571105,0.200814260682591,0.0187018914892636,0.165883994150737,0.723912937674635,0.971886619756755,0.99781081020793
"ASV698",0.300396888438324,0.184770656868666,0.0197607406533461,0.198071678344679,0.735236481176516,0.968964628618499,0.997159260068677
"ASV699",0.267164702814276,0.195597102827279,0.0183795047411557,0.167093314720023,0.722632229219015,0.971292838592451,0.997729329076047
"ASV700",0.255680133200202,0.206786106950083,0.0182668875925615,0.153394287361823,0.717399395262142,0.97265297594695,0.997997273798227
"ASV701",0.279642898126958,0.185153324719931,0.0189833384037497,0.181978202741923,0.723163849439529,0.968428568385104,0.99723138091294
"ASV702",0.269666207374415,0.20907296298272,0.0188034015462664,0.162054804011516,0.727345168461108,0.973542637336252,0.998033673182427
"ASV703",0.251396448129749,0.220029047882338,0.0183373684373242,0.144161014166845,0.717816864116663,0.97462943820135,0.998279257964799
"ASV706",0.26726105586569,0.204064965555331,0.018254664336276,0.162736474036752,0.728262582701065,0.973651897922635,0.998041253237816
"ASV707",0.260751783203385,0.192279477857285,0.0179847708111887,0.164072026907836,0.718407985671046,0.970727397294179,0.997685418145016
"ASV712",0.256668282406515,0.197308126299131,0.0179985168920063,0.158661166456353,0.716644084929792,0.971362278147659,0.997806528258586
"ASV713",0.256597998754012,0.201087686849814,0.0181694863040417,0.156800562386824,0.716656386692521,0.971752635148102,0.997867373528381
"ASV714",0.299296901197793,0.183846172096024,0.0197685193958074,0.197783442387363,0.733604626153464,0.968512879575984,0.997097794054978
"ASV715",0.308764969735019,0.167744169109466,0.0241532811787744,0.216972627629502,0.69291632288476,0.948386281556587,0.993361178173883
"ASV716",0.295222982462821,0.202131809348009,0.0195315404322864,0.184160238229571,0.741650488906268,0.973339274629452,0.997850820500386
"ASV718",0.2723100948634,0.197753253906595,0.0186210329668296,0.169727333079792,0.72645489059981,0.971831569173594,0.997773846448654
"ASV719",0.324458048906759,0.154508717734298,0.024745825879583,0.238358555623139,0.692679055317978,0.941971902404018,0.991519103736537
"ASV720",0.284318411292844,0.19306608349865,0.019032901187448,0.181082293013516,0.731673241876961,0.971119673560673,0.997594165323617
"ASV723",0.233971585308567,0.205554488491563,0.0173088626853069,0.138958068549809,0.703322943243682,0.97208597276871,0.998048995245037
"ASV725",0.286275409652058,0.192819531656926,0.0190713180416835,0.182664234785936,0.733043894212876,0.971213588834378,0.997593481122095
"ASV727",0.264645039252708,0.210800971880455,0.0186052170161166,0.157648081731295,0.725038965086705,0.973789234570836,0.998093263031124
"ASV730",0.291040565156559,0.186301933211263,0.019217389190136,0.189906158932113,0.732568720286211,0.969704995893903,0.997333513761589
"ASV732",0.262114490230429,0.206993103860435,0.0183121646616813,0.157714626344661,0.723767981447786,0.973449337218073,0.998054623405279
"ASV733",0.285001096059129,0.186819998040325,0.0190020078028749,0.185028729620762,0.729201895029805,0.969639912690167,0.997367052194992
"ASV735",0.259219350510802,0.195004581581727,0.0178848774249044,0.161562796076828,0.719360903177111,0.971508194252163,0.99780016937797
