kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,gbif_query,query,taxo_query_level,higher_taxo_source
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,44,204,588,8611,2408960,2409051,2409051,saso,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,1,44,204,590,8621,2333960,2333963,2333963,scsc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hemitripteridae,Nautichthys,Nautichthys oculofasciatus,1,44,204,590,5097,2335120,2335124,2335124,sfsc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes brevispinis,1,44,204,590,8633,2333712,2335560,2335561,sgro,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,1,44,204,587,4269,2389233,2389234,2389234,shpe,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,1,44,204,590,8621,2333865,2333873,2333873,shsc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis pulchellus,1,44,204,590,8627,2335959,5201510,5201510,shsn,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,Hyperprosopon ellipticum,1,44,204,587,4269,2389296,2389301,2389301,sipe,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hemitripteridae,Blepsias,Blepsias cirrhosus,1,44,204,590,5097,2335094,2335095,2335095,sisc,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis,1,44,204,587,8598,2394913,2394916,2394916,slco,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,1,44,204,590,8627,2335959,5201509,5201509,slsn,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius lateralis,1,44,204,590,8621,2333960,2333966,2333966,smsc,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Lumpenus,Lumpenus sagitta,1,44,204,587,8598,5211320,5211330,5211330,snpr,species,gbif
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,1,44,204,1313,8615,2351426,5204039,5204039,sock,species,gbif
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,1,44,121,883,5872,2420869,5216368,5216368,spdo,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae,Eumicrotremus,Eumicrotremus orbis,1,44,204,590,8623,2336845,2336849,2336849,splu,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,1,44,204,588,5082,2408301,2408737,2408737,spsa,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Asemichthys,Asemichthys taylori,1,44,204,590,8621,2333989,2333756,2333755,spsc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis callyodon,1,44,204,590,8627,2335959,5201419,5201419,spsn,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes diploproa,1,44,204,590,8633,2333712,2335406,2335406,spso,species,gbif
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,1,44,204,1313,8615,2351426,5204019,5204019,stee,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,1,44,204,588,8611,2409326,2409327,2409327,stfl,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,Gibbonsia metzi,1,44,204,587,4261,2380263,5209312,5209312,stke,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,Embiotoca lateralis,1,44,204,587,4269,2389281,2389287,2389287,stpe,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Podothecus,Podothecus accipenserinus,1,44,204,590,8617,2337127,2337129,2337129,stop,species,gbif
